/a/,a,"Mann, Ball, fast, Stadt",/aː/,a,"ja, da, Tat, kam",,/a/,a,"M\ee{\d{a}}nn, B\ee{\d{a}}ll, f\ee{\d{a}}st, St\ee{\d{a}}dt",/aː/,a,"j\ee{\uline{a}}, d\ee{\uline{a}}, T\ee{\uline{a}}t, k\ee{\uline{a}}m"
,,"an, am, ab, das, hat, man",,ah,"Bahn, Hahn, Wahl, nah",,,,"\ee{\d{a}}n, \ee{\d{a}}m, \ee{\d{a}}b, d\ee{\d{a}}s, h\ee{\d{a}}t, m\ee{\d{a}}n",,ah,"B\ee{\uline{ah}}n, H\ee{\uline{ah}}n, W\ee{\uline{ah}}l, n\ee{\uline{ah}}"
,,,,aa,"Staat, Saal, Maat, Waage",,,,,,aa,"St\ee{\uline{aa}}t, S\ee{\uline{aa}}l, M\ee{\uline{aa}}t, W\ee{\uline{aa}}ge"
/i/,i,"Bitte, ist, Zimmer, dick",/iː/,i,"mir, Kino, Idee, Kiwi",,/i/,i,"B\ee{\d{i}}tte, \ee{\d{i}}st, Z\ee{\d{i}}mmer, d\ee{\d{i}}ck",/iː/,i,"m\ee{\uline{i}}r, K\ee{\uline{i}}no, Idee, K\ee{\uline{i}}w\ee{\uline{i}}"
,,"in, im, mit, fit, bis",,ih,"ihm, ihnen, ihr, ihn",,,,"\ee{\d{i}}n, \ee{\d{i}}m, m\ee{\d{i}}t, f\ee{\d{i}}t, b\ee{\d{i}}s",,ih,"\ee{\uline{ih}}m, \ee{\uline{ih}}nen, \ee{\uline{ih}}r, \ee{\uline{ih}}n"
,,,,ie,"sie, Liebe, Bier, Vieh, ziehen",,,,,,ie,"s\ee{\uline{ie}}, L\ee{\uline{ie}}be, B\ee{\uline{ie}}r, V\ee{\uline{ie}}h, z\ee{\uline{ie}}hen"
/ɔ/,o,"oft, Bonn, kommen, Morgen",/oː/,o,"wo, Hof, Brot, Foto",,/ɔ/,o,"\ee{\d{o}}ft, B\ee{\d{o}}nn, k\ee{\d{o}}mmen, M\ee{\d{o}}rgen",/oː/,o,"w\ee{\uline{o}}, H\ee{\uline{o}}f, Br\ee{\uline{o}}t, F\ee{\uline{o}}t\ee{\uline{o}}"
,,ob,,oh,"Bohne, Sohn, wohnen, Ohr",,,,\ee{\d{o}}b,,oh,"B\ee{\uline{oh}}ne, S\ee{\uline{oh}}n, w\ee{\uline{oh}}nen, Ohr"
,,,,oo,"Zoo, Boot, doof, Moos",,,,,,oo,"Z\ee{\uline{oo}}, B\ee{\uline{oo}}t, d\ee{\uline{oo}}f, M\ee{\uline{oo}}s"
/u/,u,"Hund, Butter, dumm, Null",/uː/,u,"du, gut, Uni, Kuli",,/u/,u,"H\ee{\d{u}}nd, B\ee{\d{u}}tter, d\ee{\d{u}}mm, N\ee{\d{u}}ll",/uː/,u,"d\ee{\uline{u}}, g\ee{\uline{u}}t, Uni, K\ee{\uline{u}}li"
,,"um, Bus",,uh,"Kuh, Huhn, Uhr, Ruhr",,,,"\ee{\d{u}}m, B\ee{\d{u}}s",,uh,"K\ee{\uline{uh}}, H\ee{\uline{uh}}n, Uhr, R\ee{\uline{uh}}r"
/ɛ/,e,"Bett, elf, essen, Heft",/eː/,e,"wen, den, Regen, Meter",,/ɛ/,e,"B\ee{\d{e}}tt, \ee{\d{e}}lf, \ee{\d{e}}ss\ee{\d{e}}n, H\ee{\d{e}}ft",/eː/,e,"w\ee{\uline{e}}n, d\ee{\uline{e}}n, R\ee{\uline{e}}g\ee{\uline{e}}n, M\ee{\uline{e}}t\ee{\uline{e}}r"
,ä,"Länder, Hände, Männer, hätte",,eh,"gehen, Mehl, weh, fehlen",,,ä,"L\ee{\d{ä}}nder, H\ee{\d{ä}}nde, M\ee{\d{ä}}nner, h\ee{\d{ä}}tte",,eh,"g\ee{\uline{eh}}en, M\ee{\uline{eh}}l, w\ee{\uline{eh}}, f\ee{\uline{eh}}len"
,,,,ee,"Tee, See, Kaffee, Meer",,,,,,ee,"T\ee{\uline{ee}}, S\ee{\uline{ee}}, Kaff\ee{\uline{ee}}, M\ee{\uline{ee}}r"
,,,/ɛː/,ä,"Bär, Käse, Läden, Väter",,,,,/ɛː/,ä,"B\ee{\uline{ä}}r, K\ee{\uline{ä}}se, L\ee{\uline{ä}}den, V\ee{\uline{ä}}ter"
,,,,äh,"Zähne, Nähe, fährt, mähen",,,,,,äh,"Z\ee{\uline{äh}}ne, N\ee{\uline{äh}}e, f\ee{\uline{äh}}rt, m\ee{\uline{äh}}en"
/œ/,ö,"können, öffnen, Köln, Löffel",/øː/,ö,"Öl, schön, Löwe, mögen",,/œ/,ö,"k\ee{\d{ö}}nnen, \ee{\d{ö}}ffnen, K\ee{\d{ö}}ln, L\ee{\d{ö}}ffel",/øː/,ö,"Öl, sch\ee{\uline{ö}}n, L\ee{\uline{ö}}we, m\ee{\uline{ö}}gen"
,,,,öh,"Höhe, Söhne, Löhne, Flöhe",,,,,,öh,"H\ee{\uline{öh}}e, S\ee{\uline{öh}}ne, L\ee{\uline{öh}}ne, Fl\ee{\uline{öh}}e"
/y/,ü,"fünf, Glück, dünn, Müller",/yː/,ü,"süß, müde, über, Tür",,/y/,ü,"f\ee{\d{ü}}nf, Gl\ee{\d{ü}}ck, d\ee{\d{ü}}nn, M\ee{\d{ü}}ller",/yː/,ü,"s\ee{\uline{ü}}ß, m\ee{\uline{ü}}de, \ee{\uline{ü}}ber, T\ee{\uline{ü}}r"
,y,"Ägypten, System, Symbol",,üh,"kühl, fühlen, Bühne, Mühe",,,y,"Äg\ee{\d{y}}pten, S\ee{\d{y}}stem, S\ee{\d{y}}mbol",,üh,"k\ee{\uline{üh}}l, f\ee{\uline{üh}}len, B\ee{\uline{üh}}ne, M\ee{\uline{üh}}e"
,,,,y,"Typ, typisch, Mythos, Synonym",,,,,,y,"T\ee{\uline{y}}p, t\ee{\uline{y}}pisch, M\ee{\uline{y}}thos, S\ee{\uline{y}}non\ee{\uline{y}}m"
/ə/,e,"Name, Tage, Woche, Hose, bekommen, gefallen",,,,,/ə/,e,"Nam\ee{\d{e}}, Tag\ee{\d{e}}, Hos\ee{\d{e}}, b\ee{\d{e}}komm\ee{\d{e}}n",,,
/ɐ/,er,"Maler, aber, Arbeiter, Koffer",,,,,/ɐ/,er,"Mal\ee{er}, ab\ee{er}, Arbeit\ee{er}, Koff\ee{er}",,,
/ən/,en,"leben, baden, haben, lernen",,,,,/ən/,en,"leb\ee{en}, bad\ee{en}, hab\ee{en}, lern\ee{en}",,,
/əl/,el,"Tafel, Gabel, Nadel, Onkel",,,,,/əl/,el,"Taf\ee{el}, Gab\ee{el}, Nad\ee{el}, Onk\ee{el}",,,
,,,,,,,,,,,,
/ai/,ei,"Ei, mein, Wein, frei",,,,,/ai/,ei,"\ee{\uline{Ei}}, m\ee{\uline{ei}}n, W\ee{\uline{ei}}n, fr\ee{\uline{ei}}",/au/,au,"\ee{\uline{au}}f, \ee{\uline{Auto}}, k\ee{\uline{au}}fen, P\ee{\uline{au}}se"
,ai,"Mai, Main, Mais, Kaiser",,,,,,ai,"M\ee{\uline{ai}}, M\ee{\uline{ai}}n, M\ee{\uline{ai}}s, K\ee{\uline{ai}}ser",/ɔy/,eu,"n\ee{\uline{eu}}, h\ee{\uline{eu}}te, n\ee{\uline{eu}}n, \ee{\uline{Eu}}le"
,ay,"Bayern, Haydn",,,,,,ay,"B\ee{\uline{ay}}ern, H\ee{\uline{ay}}dn",,äu,"M\ee{\uline{äu}}se, K\ee{\uline{äu}}fer, B\ee{\uline{äu}}me, h\ee{\uline{äu}}fen"
,ey,"Meyer, Beyer",,,,,,ey,"M\ee{\uline{ey}}er, B\ee{\uline{ey}}er",,,
/au/,au,"auf, Auto, kaufen, Pause",,,,,,,,,,
/ɔy/,eu,"neu, heute, neun, Eule",,,,,,,,,,
,äu,"Mäuse, Käufer, Bäume, häufen",,,,,,,,,,
,,,,,,,,,,,,
/p/,p,"Papier, Peter, Lampe, Lupe",/b/,b,"Blid, Bluse, Bahn, Fieber",,/p/,p,"\ee{P}a\ee{p}ier, \ee{P}eter, Lam\ee{p}e, Lu\ee{p}e",/b/,b,"\ee{B}lid, \ee{B}luse, \ee{B}ahn, Fie\ee{b}er"
,pp,"Lippe, Mappe, tippen",,bb,"Ebbe, Lübben",,,pp,"Li\ee{pp}e, Ma\ee{pp}e, ti\ee{pp}en",,bb,"E\ee{bb}e, Lü\ee{bb}en"
,b,"gelb, weiblich, Lob, lieb",,,,,,b,"gel\ee{b}, wei\ee{b}lich, Lo\ee{b}, lie\ee{b}",,,
/t/,t,"tanzen, Tee, Wut, Boot",/d/,d,"Datum, Decke, Kunde",,/t/,t,"\ee{t}anzen, \ee{T}ee, Wu\ee{t}, Boo\ee{t}",/d/,d,"\ee{D}atum, \ee{D}ecke, Kun\ee{d}e"
,tt,"Bett, Nett, Butter, Blatt",,dd,"Pudding, Widder, puddeln",,,tt,"Be\ee{tt}, Ne\ee{tt}, Bu\ee{tt}er, Bla\ee{tt}",,dd,"Pu\ee{dd}ing, Wi\ee{dd}er, pu\ee{dd}eln"
,th,"Theater, Ruth, Thomas",,,,,,th,"\ee{Th}eater, Ru\ee{th}, \ee{Th}omas",,,
,d,"Hund, wild, mild, südlich",,,,,,d,"Hun\ee{d}, wil\ee{d}, mil\ee{d}, sü\ee{d}lich",,,
,dt,"Schmidt, verwandt",,,,,,dt,"Schmi\ee{dt}, verwan\ee{dt}",,,
